[2019-07-27 16:21:10] Downloading update (80,366 of 350,762 KB)...
[2019-07-27 16:21:10] Downloading update (81,603 of 350,762 KB)...
[2019-07-27 16:21:10] Downloading update (82,841 of 350,762 KB)...
[2019-07-27 16:21:10] Downloading update (83,954 of 350,762 KB)...
[2019-07-27 16:21:11] Downloading update (85,200 of 350,762 KB)...
[2019-07-27 16:21:11] Downloading update (86,452 of 350,762 KB)...
[2019-07-27 16:21:11] Downloading update (87,696 of 350,762 KB)...
[2019-07-27 16:21:11] Downloading update (88,892 of 350,762 KB)...
[2019-07-27 16:21:12] Downloading update (90,087 of 350,762 KB)...
[2019-07-27 16:21:12] Downloading update (91,163 of 350,762 KB)...
[2019-07-27 16:21:12] Downloading update (92,358 of 350,762 KB)...
[2019-07-27 16:21:12] Downloading update (93,553 of 350,762 KB)...
[2019-07-27 16:21:13] Downloading update (94,750 of 350,762 KB)...
[2019-07-27 16:21:13] Downloading update (95,968 of 350,762 KB)...
[2019-07-27 16:21:13] Downloading update (97,041 of 350,762 KB)...
[2019-07-27 16:21:13] Downloading update (98,124 of 350,762 KB)...
[2019-07-27 16:21:14] Downloading update (99,207 of 350,762 KB)...
[2019-07-27 16:21:14] Downloading update (100,292 of 350,762 KB)...
[2019-07-27 16:21:14] Downloading update (101,393 of 350,762 KB)...
[2019-07-27 16:21:14] Downloading update (102,393 of 350,762 KB)...
[2019-07-27 16:21:15] Downloading update (103,504 of 350,762 KB)...
[2019-07-27 16:21:15] Downloading update (104,618 of 350,762 KB)...
[2019-07-27 16:21:15] Downloading update (105,743 of 350,762 KB)...
[2019-07-27 16:21:15] Downloading update (106,868 of 350,762 KB)...
[2019-07-27 16:21:16] Downloading update (107,890 of 350,762 KB)...
[2019-07-27 16:21:16] Downloading update (109,043 of 350,762 KB)...
[2019-07-27 16:21:16] Downloading update (110,210 of 350,762 KB)...
[2019-07-27 16:21:16] Downloading update (111,378 of 350,762 KB)...
